lambda,x,rho,type,x0,x1
0.7000000000000001,0.04754755,0.66883314,free,,
0.7000000000000001,0.17267267,0.6060663,free,,
0.7000000000000001,0.6281281,0.38342077,free,,
0.7000000000000001,0.7282282,0.3320122,free,,
0.7000000000000001,0.8083083,0.28831542,free,,
0.7000000000000001,0.8783784,0.2468689,free,,
0.7000000000000001,0.9384384,0.20735529,free,,
0.7000000000000001,0.9634635,0.18920115,free,,
0.7000000000000001,0.9884885,0.16958855,free,,
0.7000000000000001,1.0085086,0.15247461,free,,
0.7000000000000001,1.0285286,0.13357998,free,,
0.7000000000000001,1.0435436,0.11773981,free,,
0.7000000000000001,1.0585586,0.09973717,free,,
0.7000000000000001,1.0685686,0.085885465,free,,
0.7000000000000001,1.0785786,0.06956038,free,,
0.7000000000000001,1.0885886,0.04834608,free,,
0.7000000000000001,1.0935936,0.03318856,free,,
0.7000000000000001,1.0985986,0.0000010850941,free,,
0.7000000000000001,2.5,5.719797e-9,free,,
0.7000000000000001,-0.8333333,0.0,emp,-0.8333333,-0.76086956
0.7000000000000001,-0.76086956,0.04071,emp,-0.76086956,-0.6884058
0.7000000000000001,-0.6884058,0.579945,emp,-0.6884058,-0.615942
0.7000000000000001,-0.615942,0.82041,emp,-0.615942,-0.54347825
0.7000000000000001,-0.54347825,0.87768,emp,-0.54347825,-0.4710145
0.7000000000000001,-0.4710145,0.886995,emp,-0.4710145,-0.39855072
0.7000000000000001,-0.39855072,0.85974,emp,-0.39855072,-0.32608697
0.7000000000000001,-0.32608697,0.84249,emp,-0.32608697,-0.2536232
0.7000000000000001,-0.2536232,0.80454,emp,-0.2536232,-0.18115942
0.7000000000000001,-0.18115942,0.76866,emp,-0.18115942,-0.10869565
0.7000000000000001,-0.10869565,0.731055,emp,-0.10869565,-0.036231883
0.7000000000000001,-0.036231883,0.690345,emp,-0.036231883,0.036231883
0.7000000000000001,0.036231883,0.654465,emp,0.036231883,0.10869565
0.7000000000000001,0.10869565,0.61686,emp,0.10869565,0.18115942
0.7000000000000001,0.18115942,0.582015,emp,0.18115942,0.2536232
0.7000000000000001,0.2536232,0.546825,emp,0.2536232,0.32608697
0.7000000000000001,0.32608697,0.518535,emp,0.32608697,0.39855072
0.7000000000000001,0.39855072,0.47541,emp,0.39855072,0.4710145
0.7000000000000001,0.4710145,0.444705,emp,0.4710145,0.54347825
0.7000000000000001,0.54347825,0.403995,emp,0.54347825,0.615942
0.7000000000000001,0.615942,0.37329,emp,0.615942,0.6884058
0.7000000000000001,0.6884058,0.336375,emp,0.6884058,0.76086956
0.7000000000000001,0.76086956,0.290835,emp,0.76086956,0.8333333
0.7000000000000001,0.8333333,0.24771,emp,0.8333333,0.9057971
0.7000000000000001,0.9057971,0.20562,emp,0.9057971,0.9782609
0.7000000000000001,0.9782609,0.14421,emp,0.9782609,1.0507246
0.7000000000000001,1.0507246,0.05589,emp,1.0507246,1.1231884
0.7000000000000001,1.1231884,0.00069,emp,1.1231884,1.1956521
0.7000000000000001,1.1956521,0.0,emp,1.1956521,1.268116
0.7000000000000001,1.3405797,0.0,emp,,
0.7000000000000001,-0.8333333,0.0,empMin,-0.8333333,-0.76086956
0.7000000000000001,-0.76086956,0.031395,empMin,-0.76086956,-0.6884058
0.7000000000000001,-0.6884058,0.003105,empMin,-0.6884058,-0.615942
0.7000000000000001,-0.615942,0.0,empMin,-0.615942,-0.54347825
0.7000000000000001,-0.4710145,0.0,empMin,,
0.7000000000000001,0.9057971,0.0,empMax,0.9057971,0.9782609
0.7000000000000001,0.9782609,0.000345,empMax,0.9782609,1.0507246
0.7000000000000001,1.0507246,0.033465,empMax,1.0507246,1.1231884
0.7000000000000001,1.1231884,0.00069,empMax,1.1231884,1.1956521
0.7000000000000001,1.1956521,0.0,empMax,1.1956521,1.268116
0.7000000000000001,1.3405797,0.0,empMax,,
0.9,-2.5,5.5828777e-9,free,,
0.9,-0.7332332,6.983776e-7,free,,
0.9,-0.7282282,0.013175064,free,,
0.9,-0.7232232,0.049084917,free,,
0.9,-0.7182182,0.0669223,free,,
0.9,-0.7132132,0.07931511,free,,
0.9,-0.7082082,0.087643765,free,,
0.9,-0.7032032,0.091163374,free,,
0.9,-0.6981982,0.08545886,free,,
0.9,-0.6931932,0.022564216,free,,
0.9,-0.6881882,0.21909726,free,,
0.9,-0.6831832,0.32604536,free,,
0.9,-0.6781782,0.398814,free,,
0.9,-0.6731732,0.45557943,free,,
0.9,-0.6631632,0.5422501,free,,
0.9,-0.6531532,0.6071884,free,,
0.9,-0.6431431,0.6582652,free,,
0.9,-0.6281281,0.7172744,free,,
0.9,-0.6131131,0.76151705,free,,
0.9,-0.5980981,0.7952611,free,,
0.9,-0.5830831,0.8211804,free,,
0.9,-0.5730731,0.8350282,free,,
0.9,-0.5630631,0.84660757,free,,
0.9,-0.5530531,0.85624045,free,,
0.9,-0.543043,0.86419123,free,,
0.9,-0.533033,0.8706798,free,,
0.9,-0.518018,0.8780672,free,,
0.9,-0.508008,0.8816478,free,,
0.9,-0.492993,0.885312,free,,
0.9,-0.477978,0.8872311,free,,
0.9,-0.46296296,0.8876861,free,,
0.9,-0.44294295,0.88640594,free,,
0.9,-0.4229229,0.88336265,free,,
0.9,-0.4029029,0.8788975,free,,
0.9,-0.3778779,0.8717229,free,,
0.9,-0.35285285,0.86315686,free,,
0.9,-0.3228228,0.8514795,free,,
0.9,-0.25275275,0.82031107,free,,
0.9,-0.16766767,0.77854663,free,,
0.9,0.04754755,0.6687283,free,,
0.9,0.17267267,0.60596395,free,,
0.9,0.6281281,0.38327727,free,,
0.9,0.7282282,0.33184046,free,,
0.9,0.8083083,0.28810996,free,,
0.9,0.8783784,0.24662313,free,,
0.9,0.9334334,0.21056391,free,,
0.9,0.9584585,0.19264287,free,,
0.9,0.9834835,0.17336102,free,,
0.9,1.0035036,0.15663277,free,,
0.9,1.0235236,0.13832228,free,,
0.9,1.0385386,0.12316393,free,,
0.9,1.0535536,0.106264465,free,,
0.9,1.0685686,0.08672172,free,,
0.9,1.0785786,0.07127971,free,,
0.9,1.0885886,0.052133013,free,,
0.9,1.0935936,0.039645452,free,,
0.9,1.1036036,4.279005e-7,free,,
0.9,2.5,5.720637e-9,free,,
0.9,-0.8333333,0.0,emp,-0.8333333,-0.76086956
0.9,-0.76086956,0.045885,emp,-0.76086956,-0.6884058
0.9,-0.6884058,0.58098,emp,-0.6884058,-0.615942
0.9,-0.615942,0.81903,emp,-0.615942,-0.54347825
0.9,-0.54347825,0.87699,emp,-0.54347825,-0.4710145
0.9,-0.4710145,0.88458,emp,-0.4710145,-0.39855072
